paper_id,headline_winner,headline_runner_up,other_models,winner_metric,winner_advantage_quote,sig_test_in_paper,horse_race_intensity,notes
P13_wang_2023,Hybrid GARCH-LSTM,GARCH alone,"multiple GARCH models, LSTM, hybrid GARCH-LSTM",VaR backtest,"the hybrid model significantly improves value-at-risk (VaR) prediction performance compared to traditional GARCH models",none,medium,Focus on VaR not pure vol forecast; hybrid wins
P14_zahid_2022,Hybrid GARCH+LSTM/GRU/BiLSTM,GARCH alone,"GARCH, LSTM, GRU, BiLSTM (single/double/triple layer), hybrid combinations",MSE/MAE,"such hybrid models can generate accurate forecasts of Bitcoin's price volatility",none,medium,Vague winner; hybrid wins but specific architecture not pinpointed
P15_mostafa_2021,ANN,GJR-GARCH / ARIMA,"GARCH, GJR-GARCH (with NIG distribution), ANN, ARIMA",MSE,"For some cryptocurrencies the ANN models perform better than traditional ARIMA models",none,medium,"Mixed: ANN beats ARIMA for SOME cryptocurrencies, not all"
P16_bohte_2019,Bayesian Stochastic Volatility (with Student-t errors),Bayesian VAR,"Bayesian VAR, GARCH, stochastic volatility (Gaussian errors), stochastic vol (Student-t errors)",log-predictive density,"stochastic volatility is significantly outperforming the benchmark of VAR in both point and density forecasting; the student-t distribution is shown to outperform the standard normal approach",none,high,Density forecasting evaluation; clear winner stated; uses 'significantly' but no formal test specified
P17_dipersio_2021,Hybrid GARCH-NN (forward-looking),Backward-looking realized vol,"realized backward-looking vol, GARCH, GARCH-NN hybrid",portfolio Sharpe / drawdown,"Our solution provides a more accurate volatility estimation",none,low,VolTarget strategy paper; less of a pure forecasting horse race
P18_lei_2021,TCN with investor attention,TCN without investor attention,"TCN with attention, TCN without attention, GARCH, HAR-RV, ARFIMA, LSTM with attention",MSE/MAE,"the prediction accuracy of the TCN model with investor attention is better than those of the TCN model without investor attention, the traditional econometric model... and the LSTM model with investor attention",none,high,Multi-model horse race; clear winner; large model lineup
P19_zhang_2025,CNN-BiLSTM-Attention,GARCH-MIDAS variants,"GARCH-MIDAS, GARCH-MIDAS-MV (with macro vars), GARCH-MIDAS-EPU, CNN-BiLSTM-Attention",MSE/MAE,"the CNN-BiLSTM-Attention model yields the most accurate forecasts compared to the benchmark models",none,high,Clear winner; benchmarks include both classical (GARCH-MIDAS) and DL
P20_lux_2020,SVR-GARCH-KDE (proposed),Standard parametric GARCH-VaR,"GARCH-Normal-VaR, GARCH-t-VaR, parametric VaR, SVR-GARCH-KDE",VaR violation rate,"VaR estimates based on linear and parametric models can lead to biased results",none,medium,VaR-focused; SVR-GARCH-KDE proposed as nonparametric alternative
P21_aradi_2020,Dilated CNN with transfer learning,Dilated CNN without transfer learning,"ARIMA, dilated CNN (single-stock training), dilated CNN (transfer learning)",MSE,"its performance turns out to be much better in terms of prediction error",none,medium,Transfer-learning angle; clear winner against own non-transfer baseline
P22_bucci_2024,Riemannian Geometric Deep Learning (proposed),Traditional Euclidean treatment + HAR-style baselines,"matrix-HAR, multivariate GARCH, geometric DL (Stiefel manifold)",MSE on covariance,"our method outperforms traditional approaches in terms of predictive accuracy",none,medium,Realized covariance forecasting (not univariate vol); methodological paper
P23_zhao_2024,Autoencoder-Realized GARCH,PCA-Realized GARCH / ICA-Realized GARCH,"linear PCA, linear ICA, average measure, autoencoder, all combined with Realized GARCH",MSE,"the superior effectiveness of the proposed model in one-step-ahead rolling volatility forecasting",none,medium,Master's thesis-level paper; nonlinear (autoencoder) > linear (PCA/ICA)
P24_kumar_2024,Temporal Graph Attention Network (Temporal GAT),GARCH + other ML methods,"GARCH, GCN, GAT, Temporal GAT (combined GCN+GAT)",MSE,"the Temporal GAT outperforms traditional GARCH models and other machine learning methods particularly in short- to mid-term forecasts",none,high,8 global indices; clear winner stated
P25_xu_2024,GINN (GARCH-Informed Neural Network),Standalone GARCH and standalone LSTM,"GARCH, LSTM, GINN (their hybrid)",R² + MSE + MAE,"GINN showed superior out-of-sample prediction performance in terms of the Coefficient of Determination (R²), Mean Squared Error (MSE), and Mean Absolute Error (MAE)",none,high,Hybrid wins on all 3 metrics; clear horse race
P26_roszyk_2024,Hybrid LSTM-GARCH + VIX,Hybrid LSTM-GARCH (no VIX),"GARCH, LSTM, hybrid LSTM-GARCH, hybrid LSTM-GARCH+VIX",MSE,"machine learning approaches particularly the hybrid LSTM models significantly outperform the traditional GARCH model. Including the VIX index in the hybrid model further enhances its forecasting ability",none,high,4-model horse race; clear monotone ranking
P27_tondapu_2024,GARCH (rolling) for GBP/USD; GARCH+OLS+IV for EUR/GBP,EWMA / vanilla GARCH,"EWMA, GARCH variants, IV models, OLS+IV combinations",RMSE/MAE,"for the GBP/USD pair, the most accurate volatility forecasts stem from the utilization of GARCH models employing a rolling window methodology... for the EUR/GBP pair optimal forecasts are derived from GARCH models and Ordinary Least Squares models incorporating implied volatility",none,medium,Two FX pairs with different winners; unusual nuanced result
P28_wei_2025,GARCH-GRU,GARCH-LSTM,"classical GARCH variants, pipeline-style GARCH+NN hybrids, Transformer, GARCH-LSTM, GARCH-GRU",MSE/MAE/SMAPE/OOS-R²,"both models consistently outperform classical GARCH specifications, pipeline-style hybrids, and neural baselines such as the Transformer; GARCH-GRU achieves the strongest accuracy-efficiency tradeoff",none,high,Multi-metric multi-baseline horse race; GARCH-GRU narrowly beats GARCH-LSTM
P29_wang_2025,LSTM-BEKK,Standard BEKK / DCC,"BEKK, DCC, LSTM-BEKK",portfolio NLL,"the LSTM-BEKK model achieves superior performance in terms of out-of-sample portfolio risk forecast",none,high,Multivariate volatility (not univariate); LSTM-augmented BEKK wins
P30_blake_2025,Coefficient-based soft regime algorithm with HAR,Soft Markov switching algorithm,"baseline AR, soft Markov switching, spectral clustering with XGBoost, coefficient-based soft regime",MSE/MAE,"The coefficient-based clustering algorithm outperformed all other models including the baseline autoregressive model during all time periods",none,high,Regime-switching focus; coefficient-based clustering wins consistently
