source,doi,title,abstract,venue,year,citations,authors,url,filter_status
crossref,10.1093/jjfinec/nbz025,HARK the SHARK: Realized Volatility Modeling with Measurement Errors and Nonlinear Dependencies,"Abstract Despite their effectiveness, linear models for realized variance neglect measurement errors on integrated variance and exhibit several forms of misspecification due to the inherent nonlinear dynamics of volatility. We propose new extensions of the popular approximate long-memory heterogeneous autoregressive (HAR) model apt to disentangle these effects and quantify their separate impact on volatility forecasts. By combining the asymptotic theory of the realized variance estimator with the Kalman filter and by introducing time-varying HAR parameters, we build new models that account for: (i) measurement errors (HARK), (ii) nonlinear dependencies (SHAR) and (iii) both measurement errors and nonlinearities (SHARK). The proposed models are simply estimated through standard maximum likelihood methods and are shown, both on simulated and real data, to provide better out-of-sample forecasts compared to standard HAR specifications and other competing approaches.",Journal of Financial Econometrics,2021,20,"Buccheri, Giuseppe; Corsi, Fulvio",https://doi.org/10.1093/jjfinec/nbz025,pass
crossref,10.1093/jjfinec/nbac011,Testing Hypotheses on the Innovations Distribution in Semi-Parametric Conditional Volatility Models,"Abstract Testing symmetry or quantile assumptions on the innovations distribution can be of invaluable help to improve or simplify the statistical procedures designed for GARCH-type models. In particular, evaluation of the conditional value-at-risk (VaR) or construction of confidence intervals for predictions requires estimating quantiles of the innovations distribution. We propose tests of different hypotheses: adequacy of a set of parametric quantiles, mean–median equality, symmetry of extreme quantiles, and zero-median in presence of a conditional mean. The tests rely on the asymptotic distribution of the empirical distribution function of the residuals. They are generally model-free (though not estimation-free) and thus are simple to implement. Efficiency comparisons are made using the Bahadur approach. Numerical studies based on simulated and real data are provided to illustrate the usefulness of the proposed tests for risk management or statistical purposes.",Journal of Financial Econometrics,2023,2,"Francq, Christian; Zakoïan, Jean-Michel",https://doi.org/10.1093/jjfinec/nbac011,pass
crossref,10.1093/jjfinec/nbaa049,Decoupling the Short- and Long-Term Behavior of Stochastic Volatility,"Abstract We introduce a new class of continuous-time models of the stochastic volatility of asset prices. The models can simultaneously incorporate roughness and slowly decaying autocorrelations, including proper long memory, which are two stylized facts often found in volatility data. Our prime model is based on the so-called Brownian semistationary process and we derive a number of theoretical properties of this process, relevant to volatility modeling. Applying the models to realized volatility measures covering a vast panel of assets, we find evidence consistent with the hypothesis that time series of realized measures of volatility are both rough and very persistent. Lastly, we illustrate the utility of the models in an extensive forecasting study; we find that the models proposed in this article outperform a wide array of benchmarks considerably, indicating that it pays off to exploit both roughness and persistence in volatility forecasting.",Journal of Financial Econometrics,2022,54,"Bennedsen, Mikkel; Lunde, Asger; Pakkanen, and Mikko S",https://doi.org/10.1093/jjfinec/nbaa049,pass
crossref,10.1093/jjfinec/nbab018,An Application of Damped Diffusion for Modeling Volatility Dynamics,"Abstract This paper proposes a damped constant elasticity variance (CEV) stochastic volatility (DCEV) model, which remedies the possible explosive behavior of the CEV model and also accommodates the mean-reverting dynamics more appropriately than the nonlinear drift (NLD) stochastic volatility model. As the DCEV model maintains the linear drift, an analytic formula is available to efficiently infer latent variances from VIX levels, after which both its physical and risk-neutral parameters can be simultaneously estimated with the maximum-likelihood approach given S&amp;P 500 returns and inferred variances. The DCEV model outperforms the CEV and NLD models in in-sample fitting performance and in out-of-sample variance forecasting under the physical measure. It also exhibits superior ability in out-of-sample option pricing over the CEV and Heston’s (1993) models under the risk-neutral measure. This satisfactory performance demonstrates the suitability of describing volatility dynamics with the DCEV model and the potential of applying this to study other issues.",Journal of Financial Econometrics,2023,1,"Hung, Mao-Wei; Ko, Yi-Chen; Wang, Jr-Yan",https://doi.org/10.1093/jjfinec/nbab018,pass
crossref,10.1093/jjfinec/nbab006,Volatility Estimation and Forecasts Based on Price Durations,"Abstract We investigate price duration variance estimators that have long been neglected in the literature. In particular, we consider simple-to-construct non-parametric duration estimators, and parametric price duration estimators using autoregressive conditional duration specifications. This paper shows (i) how price duration estimators can be used for the estimation and forecasting of the integrated variance of an underlying semi-martingale price process and (ii) how they are affected by discrete and irregular spacing of observations, market microstructure noise, and finite price jumps. Specifically, we contribute to the literature by constructing the asymptotic theory for the non-parametric estimator with and without the presence of bid/ask spread and time discreteness. Further, we provide guidance about how our estimators can best be implemented in practice by appropriately selecting a threshold parameter that defines a price duration event, or by averaging over a range of non-parametric duration estimators. We also provide simulation and forecasting evidence that price duration estimators can extract relevant information from high-frequency data better and produce more accurate forecasts than competing realized volatility and option-implied variance estimators, when considered in isolation or as part of a forecasting combination setting.",Journal of Financial Econometrics,2023,18,"Hong, Seok Young; Nolte, Ingmar; Taylor, Stephen J; Zhao, Xiaolu",https://doi.org/10.1093/jjfinec/nbab006,pass
crossref,10.1093/jjfinec/nbaa041,Forecasting VIX Using Filtered Historical Simulation,"Abstract We propose a new VIX forecast method using Generalized Autoregressive Conditional Heteroscedasticity models based on the filtered historical simulation put forward in Barone-Adesi, Engle, and Mancini (2008). The flexible change of measure accommodates for non-normalities such as negative skewness and positive excess kurtosis. We present an application for four well-established volatility indices (VIX9D, VIX, VIX3M, and VIX6M). Our results show that our proposed estimation method outperforms the Normal-VIX model of Hao and Zhang (2013) both in-sample and out-of-sample. Furthermore, the use of volatility indices reduces the computational burden significantly compared to the options-based pricing method.",Journal of Financial Econometrics,2022,6,"Jiang, Yushuang; Lazar, Emese",https://doi.org/10.1093/jjfinec/nbaa041,pass
crossref,10.1093/jjfinec/nbz014,The Threshold GARCH Model: Estimation and Density Forecasting for Financial Returns*,"Abstract We consider multiple threshold value-at-risk (VaRt) estimation and density forecasting for financial data following a threshold GARCH model. We develop an α-quantile quasi-maximum likelihood estimation (QMLE) method for VaRt by showing that the associated density function is an α-quantile density and belongs to the tick-exponential family. This establishes that our estimator is consistent for the parameters of VaRt. We propose a density forecasting method for quantile models based on VaRt at a single nonextreme level, which overcomes some limitations of existing forecasting methods with quantile models. We find that for heavy-tailed financial data our α-quantile QMLE method for VaRt outperforms the Gaussian QMLE method for volatility. We also find that density forecasts based on VaRt outperform those based on the volatility of financial data. Empirical work on market returns shows that our approach also outperforms some benchmark models for density forecasting of financial returns.",Journal of Financial Econometrics,2020,7,"Cai, Yuzhi; Stander, Julian",https://doi.org/10.1093/jjfinec/nbz014,pass
crossref,10.1016/j.jempfin.2025.101639,Cross-market volatility forecasting with attention-based spatial–temporal graph convolutional networks,,Journal of Empirical Finance,2025,1,"Gong, Jue; Wang, Gang-Jin; Zhou, Yang; Xie, Chi",https://doi.org/10.1016/j.jempfin.2025.101639,pass
crossref,10.1016/j.jempfin.2022.11.009,Conditional out-of-sample predictability of aggregate equity returns and aggregate equity return volatility using economic variables,,Journal of Empirical Finance,2023,5,"Nonejad, Nima",https://doi.org/10.1016/j.jempfin.2022.11.009,pass
crossref,10.1002/for.2737,Forecasting US stock market volatility: How to use international volatility information,"Abstract This paper aims to accurately forecast US stock market volatility by using international market volatility information flows. The results show the significant ability of the combined international volatility information to predict US stock volatility. The predictability is found to be both statistically and economically significant. Furthermore, in this framework, we compare the performance of a large set of approaches dealing with multivariate information. Dynamic model averaging (DMA) and dynamic model selection (DMS) perform better than a wide variety of competing strategies, including the heterogeneous autoregressive (HAR) benchmark, kitchen sink model, popular forecast combinations, principal component analysis (PCA), partial least squares (PLS), and the ridge, lasso, and elastic net shrinkage methods. A wide range of extensions and robustness checks reduce the concern regarding data mining. DMA and DMS are also able to significantly forecast international stock market volatilities.",Journal of Forecasting,2021,29,"Zhang, Yaojie; Wang, Yudong; Ma, Feng",https://doi.org/10.1002/for.2737,pass
crossref,10.1002/for.2974,Forecasting stock return volatility: Realized volatility‐type or duration‐based estimators,"Abstract In this paper, we study the predictive performance of two kinds of volatility estimators: the realized volatility (RV) type and duration‐based ones. This is motivated by the theoretical and empirical support for these distinct estimators. We use intraday data for 218 component stocks of the CSI 300 index in the Chinese equity market from 2010–2019 and perform in‐ and out‐of‐sample 1‐, 5‐, and 22‐day ahead volatility forecasts from combinations of volatility models and these estimators. We show that, although empirically more efficient with the US data, the duration‐based estimators fail to compete statistically, or in terms of economic value, with RV‐type ones in the Chinese market. We perform a comprehensive set of simulations to rationalize these results and show that duration‐based estimators underperform as they cannot handle the occasional heightened level of volatility in the Chinese market.",Journal of Forecasting,2023,2,"Fei, Tianlun; Liu, Xiaoquan; Wen, Conghua",https://doi.org/10.1002/for.2974,pass
crossref,10.1002/for.2686,Is implied volatility more informative for forecasting realized volatility: An international perspective,"Abstract Inspired by the commonly held view that international stock market volatility is equivalent to cross‐market information flow, we propose various ways of constructing two types of information flow, based on realized volatility (RV) and implied volatility (IV), in multiple international markets. We focus on the RVs derived from the intraday prices of eight international stock markets and use a heterogeneous autoregressive framework to forecast the future volatility of each market for 1 day to 22 days ahead. Our Diebold‐Mariano tests provide strong evidence that information flow with IV enhances the accuracy of forecasting international RVs over all of the prediction horizons. The results of a model confidence set test show that a market's own IV and the first principal component of the international IVs exhibit the strongest predictive ability. In addition, the use of information flows with IV can further increase economic returns. Our results are supported by the findings of a wide range of robustness checks.",Journal of Forecasting,2020,113,"Liang, Chao; Wei, Yu; Zhang, Yaojie",https://doi.org/10.1002/for.2686,pass
crossref,10.1002/for.2923,Uncertainty‐driven oil volatility risk premium and international stock market volatility forecasting,"Abstract Forecasting international stock market volatility using the oil volatility risk premium (OVRP) is important for asset allocation and financial risk management. In previous literature, the issue of biased OVRP has not been well addressed. The OVRP is defined as the difference between the ex ante risk‐neutral expectation of oil return variation and the oil realized variance. This is a biased estimator as argued by previous studies. In this paper, we propose a new measure of OVRP, namely, the uncertainty‐driven OVRP (UOVRP), in which the expected realized variation is the conditional variance of oil futures returns estimated by a typical GARCH‐MIDAS model, and the long‐term volatility component of conditional variance is directly determined by several uncertainty indices. Using heterogeneous autoregressive models (HAR), we find that UOVRPs significantly and positively predict most of the international stock market volatility in‐sample. Furthermore, it significantly outperforms the realized volatility, the “model‐free” OVRP, and recently proposed volatility predictors for most American, European, and Pacific markets out‐of‐sample. On average, UOVRPs driven by the world uncertainty index and the U.S. economic policy uncertainty perform the best among all UOVRPs. The predictive ability of UOVRPs is robust across a series of checks.",Journal of Forecasting,2023,6,"Fang, Tong; Miao, Deyu; Su, Zhi; Yin, Libo",https://doi.org/10.1002/for.2923,pass
crossref,10.1002/for.2666,A comparison of conditional predictive ability of implied volatility and realized measures in forecasting volatility,"Abstract In a conditional predictive ability test framework, we investigate whether market factors influence the relative conditional predictive ability of realized measures (RMs) and implied volatility (IV), which is able to examine the asynchronism in their forecasting accuracy, and further analyze their unconditional forecasting performance for volatility forecast. Our results show that the asynchronism can be detected significantly and is strongly related to certain market factors, and the comparison between RMs and IV on average forecast performance is more efficient than previous studies. Finally, we use the factors to extend the empirical similarity (ES) approach for combination of forecasts derived from RMs and IV.",Journal of Forecasting,2020,2,"Shi, Yafeng; Ying, Tingting; Shi, Yanlong; Ai, Chunrong",https://doi.org/10.1002/for.2666,pass
crossref,10.1002/for.2975,Forecasting global stock market volatility: The impact of volatility spillover index in spatial‐temporal graph‐based model,"Abstract The shocks on certain market spread to other markets due to the financial linkages of global economy, which is known as volatility spillover effect. In this study, we propose a volatility forecasting model for global market indices using the spatial‐temporal graph neural network (GNN). The volatility spillover between markets are reflected in the model by estimating the linkage between markets, which is the input of GNN, using the volatility spillover index. An empirical analysis is conducted on eight representative global market indices. From the out‐of‐sample results, we found the following features. First, the proposed spatial‐temporal GNN spillover model outperforms the benchmark models in short‐ and mid‐term forecasting. Second, the forecasting accuracy highly depends on the inclusion of the market index with a high volatility spillover effect. Including S&amp;P500, which contains the highest net spillover index, effectively helps to forecast the volatilities of other markets. Third, the investor can gain economic gain by using predicted volatility from proposed model in the mean‐variance framework.",Journal of Forecasting,2023,23,"Son, Bumho; Lee, Yunyoung; Park, Seongwan; Lee, Jaewook",https://doi.org/10.1002/for.2975,pass
crossref,10.1002/for.3257,Trading VIX on Volatility Forecasts: Another Volatility Puzzle?,"ABSTRACT This study evaluates the economic usefulness of stock market implied volatility forecasts, based on their ability to improve the short‐run trading decision‐making process. The current literature aligns the forecast horizon with the frequency of the trading decision in order to evaluate different forecasting frameworks. By contrast, the premise of our paper is that these should not be necessarily related, but rather the evaluation should be based on the actual needs of the end‐user. Thus, we evaluate whether the multiple days ahead stock market volatility forecasts vis‐à‐vis the 1‐day ahead forecasts can improve the 1‐day ahead trading profits from VIX and the S&amp;P500 futures. Our results suggest that indeed the 1‐day ahead trading profits are significantly improved when the trading decisions are based on longer term volatility forecasts. More specifically, the highest trading gains are obtained when using the 22‐day ahead forecasts. The results hold true for both VIX and S&amp;P500 futures day‐ahead trading. Although there is no theoretical background regarding the fact that forecasting and trading horizons should not be aligned, we strongly motivate this potential issue, both from the statistical and financial points of view.",Journal of Forecasting,2025,2,"Degiannakis, Stavros; Delis, Panagiotis; Filis, George; Giannopoulos, George",https://doi.org/10.1002/for.3257,pass
crossref,10.1002/for.2618,Volatility forecasts using stochastic volatility models with nonlinear leverage effects,"Abstract The leverage effect—the correlation between an asset's return and its volatility—has played a key role in forecasting and understanding volatility and risk. While it is a long standing consensus that leverage effects exist and improve forecasts, empirical evidence puzzlingly does not show that this effect exists for many individual stocks, mischaracterizing risk, and therefore leading to poor predictive performance. We examine this puzzle, with the goal to improve density forecasts, by relaxing the assumption of linearity of the leverage effect. Nonlinear generalizations of the leverage effect are proposed within the Bayesian stochastic volatility framework in order to capture flexible leverage structures. Efficient Bayesian sequential computation is developed and implemented to estimate this effect in a practical, on‐line manner. Examining 615 stocks that comprise the S&amp;P500 and Nikkei 225, we find that our proposed nonlinear leverage effect model improves predictive performances for 89% of all stocks compared to the conventional stochastic volatility model.",Journal of Forecasting,2020,4,"McAlinn, Kenichiro; Ushio, Asahi; Nakatsuma, Teruo",https://doi.org/10.1002/for.2618,pass
crossref,10.1002/for.2797,Moving beyond Volatility Index (VIX): HARnessing the term structure of implied volatility,"Abstract This paper considers how information from the implied volatility (IV) term structure can be harnessed to improve stock return volatility forecasting within the state‐of‐the‐art HAR model. Factors are extracted from the IV term structure and included as exogenous variables in the HAR framework. We found that including slope and curvature factors leads to significant forecast improvements over the HAR benchmark at a range of forecast horizons, compared with the standard HAR model and HAR model with VIX as IV information set.",Journal of Forecasting,2022,6,"Clements, Adam; Liao, Yin; Tang, Yusui",https://doi.org/10.1002/for.2797,pass
crossref,10.1002/for.70087,"Exploring the Forecasting of Crude Oil, Gold, and Euro Currency Implied Volatility Indices: Insights From the Decomposed Stock Market Volatility","ABSTRACT This paper explores whether the information from the stock market can provide positive contents for the implied volatility prediction in the crude oil market, gold market, and foreign exchange market. Specifically, we investigate the predictive effects of realized continuous volatility, realized jump volatility, positive and negative realized semi‐variations, and signed jumps from the S&amp;P 500 index on three implied volatility indices, OVX (Crude Oil Volatility Index), GVZ (Gold Volatility Index), and EVZ (Euro Volatility Index). We construct a hybrid method by combining parametric models with machine learning to explore the market spillover effects of stock market information on three markets. The empirical results show that realized measures in the stock market can provide incremental information for the prediction of the implied volatility indices, the positive and negative semi‐variations of stock index showing better performance than that of jump volatility. The method of combining FNN with the parametric model shows better performance compared to SVR. The superiority of this hybrid approach is further verified based on the Model Confidence Set test. Furthermore, an economic significance evaluation confirms that the enhanced predictive accuracy translates into significant economic value.",Journal of Forecasting,2026,0,"Jiang, Gongyue; Qiao, Gaoxiu; Huang, Shiyuan",https://doi.org/10.1002/for.70087,pass
crossref,10.1002/for.3170,Functional volatility forecasting,"Abstract Widely used volatility forecasting methods are usually based on low‐frequency time series models. Although some of them employ high‐frequency observations, these intraday data are often summarized into low‐frequency point statistics, for example, daily realized measures, before being incorporated into a forecasting model. This paper contributes to the volatility forecasting literature by instead predicting the next‐period intraday volatility curve via a functional time series forecasting approach. Asymptotic theory related to the estimation of latent volatility curves via functional principal analysis is formally established, laying a solid theoretical foundation of the proposed forecasting method. In contrast with nonfunctional methods, the proposed functional approach fully exploits the rich intraday information and hence leads to more accurate volatility forecasts. This is confirmed by extensive comparisons between the proposed method and those widely used nonfunctional methods in both Monte Carlo simulations and an empirical study on a number of stocks and equity indices from the Chinese market.",Journal of Forecasting,2024,4,"Tan, Yingwen; Tan, Zhensi; Tang, Yinfen; Zhang, Zhiyuan",https://doi.org/10.1002/for.3170,pass
crossref,10.1002/for.3223,Crossproduct Effect and Volatility Forecasting,"ABSTRACT This paper explores if the crossproduct of return and realized volatility measure contributes to volatility forecasting. We find there is an asymmetric crossproduct effect in volatility and propose a realized asymmetric GARCH (henceforth RealAGARCH) model. The RealAGARCH model is a generalization to the absolute GARCH and the asymmetric GARCH. Moreover, the RealAGARCH model has a news impact surface instead of a news impact curve, which makes it different from other GARCH‐like models. Empirical performance of the RealAGARCH model is evaluated on a variety of stock indices, and the results show dominance of RealAGARCH over the benchmark RealGARCH judging by either in‐sample or out‐of‐sample forecasting performance. A battery of checks confirm the robustness of our findings and thus the importance of incorporating crossproduct effect into volatility forecasting.",Journal of Forecasting,2025,1,"Xu, Jiafu; Wu, Xinyu; Xie, Haibin",https://doi.org/10.1002/for.3223,pass
crossref,10.1002/for.3221,Forecasting Realized Volatility: The Choice of Window Size,"ABSTRACT Different window sizes may produce different empirical results. However, how to choose an ideal window size is still an open question. We investigate how the window size affects the predictive performance of volatility. The empirical results show that the loss function for volatility prediction takes on a U‐shape as the window size increases. This suggests that if the window size is chosen too large or too small, the loss function tends to be large and the model's predictive accuracy decreases. A window size of between 1000 and 2000 observations is ideal for various assets because it can produce relatively minimal forecast errors. From an asset allocation perspective, a mean–variance investor can obtain sizeable utility by using a model with a low loss function value for her portfolio. Moreover, the results are robust in a variety of settings.",Journal of Forecasting,2025,2,"Feng, Yuqing; Zhang, Yaojie",https://doi.org/10.1002/for.3221,pass
crossref,10.1002/for.3150,Forecasting stock returns with industry volatility concentration,"Abstract In this paper, we show that industry volatility concentration is a strong predictor for aggregate stock market returns. Our monthly industry volatility concentration (IVC) index displays significant predictive ability, with in‐sample and out‐of‐sample R 2 statistics of 0.686% and 0.712%, respectively, which outperforms a host of prevailing return predictors. Moreover, the IVC index can generate high utility gains of 143.8 basis points above the historical average benchmark for mean–variance investors. We find that the IVC index is countercyclical. Furthermore, the predictive source of the IVC index not only stems from the cash flow and discount rate channels but is also explained by the channels of investor attention and sentiment. The predictive ability of our IVC index also remains significant under a broad range of robustness tests.",Journal of Forecasting,2024,1,"Zhang, Yaojie; He, Mengxi; Zhang, Zhikai",https://doi.org/10.1002/for.3150,pass
crossref,10.1002/for.2697,Volatility specifications versus probability distributions in VaR forecasting,"Abstract We provide evidence suggesting that the assumption on the probability distribution for return innovations is more influential for value‐at‐risk (VaR) performance than the conditional volatility specification. We also show that some recently proposed asymmetric probability distributions and the APARCH and FGARCH volatility specifications beat more standard alternatives for VaR forecasting, and they should be preferred when estimating tail risk. The flexibility of the free power parameter in conditional volatility in the APARCH and FGARCH models explains their better performance. Indeed, our estimates suggest that for a number of financial assets the dynamics of volatility should be specified in terms of the conditional standard deviation. We draw our results on VaR forecasting performance from (i) a variety of backtesting approaches, (ii) the model confidence set approach, as well as (iii) establishing a ranking among alternative VaR models using a precedence criterion that we introduce in this paper.",Journal of Forecasting,2021,12,"Garcia‐Jorcano, Laura; Novales, Alfonso",https://doi.org/10.1002/for.2697,pass
crossref,10.1002/for.2619,Volatility forecasting with bivariate multifractal models,"Abstract This paper examines volatility linkages and forecasting for stock and foreign exchange markets from a novel perspective by utilizing a bivariate Markov‐switching multifractal model that accounts for possible interactions between stock and foreign exchange markets. Examining daily data from major advanced and emerging nations, we show that generalized autoregressive conditional heteroskedasticity models generally offer superior volatility forecasts for short horizons, particularly for foreign exchange returns in advanced markets. Multifractal models, on the other hand, offer significant improvements for longer horizons, consistently across most markets. Finally, the bivariate multifractal model provides superior forecasts compared to the univariate alternative in most advanced markets and more consistently for currency returns, while its benefits are limited in the case of emerging markets.",Journal of Forecasting,2020,19,"Liu, Ruipeng; Demirer, Riza; Gupta, Rangan; Wohar, Mark",https://doi.org/10.1002/for.2619,pass
