score,citations_int,score_reason,source,doi,title,abstract,venue,year,citations,authors,url
3,49,"families=2:ensemble,garch",crossref,10.1002/for.2696,Are industry‐level indicators more helpful to forecast industrial stock volatility? Evidence from Chinese manufacturing purchasing managers index,"Abstract Effectively explaining and accurately forecasting industrial stock volatility can provide crucial references to develop investment strategies, prevent market risk and maintain the smooth running of national economy. This paper aims to discuss the roles of industry‐level indicators in industrial stock volatility. Selecting Chinese manufacturing purchasing managers index (PMI) and its five component PMI as the proxies of industry‐level indicators, we analyze the contributions of PMI on industrial stock volatility and further compare the volatility forecasting performances of PMI, macroeconomic fundamentals and economic policy uncertainty (EPU), by constructing the individual and combination GARCH‐MIDAS models. The empirical results manifest that, first, most of the PMI has significant negative effects on industrial stock volatility. Second, PMI which focuses on the industrial sector itself is more helpful to forecast industrial stock volatility compared with the commonly used macroeconomic fundamentals and economic policy uncertainty. Finally, the combination GARCH‐MIDAS approaches based on DMA technique demonstrate more excellent predictive abilities than the individual GARCH‐MIDAS models. Our major conclusions are robust through various robustness checks.",Journal of Forecasting,2021,49,"Wei, Yu; Bai, Lan; Yang, Kun; Wei, Guiwu",https://doi.org/10.1002/for.2696
3,43,"families=2:garch,ml",crossref,10.1002/for.2899,Volatility forecasting for stock market incorporating macroeconomic variables based on GARCH‐MIDAS and deep learning models,"Abstract Empirical experiments have shown that macroeconomic variables can affect the volatility of stock market. However, the frequencies of macroeconomic variables are low and different from the stock market volatility, and few literature considers the low‐frequency macroeconomic variables as input indicators for deep learning models. In this paper, we forecast the stock market volatility incorporating low‐frequency macroeconomic variables based on a hybrid model integrating the deep learning method with generalized autoregressive conditional heteroskedasticity and mixed data sampling (GARCH‐MIDAS) model to process the mixing frequency data. This paper firstly takes macroeconomic variables as exogenous variables then uses the GARCH‐MIDAS model to deal with the problem of different frequencies between the macroeconomic variables and stock market volatility and to forecast the short‐term volatility and finally takes the predicted short‐term volatility as the input indicator into machine learning and deep learning models to forecast the realized volatility of stock market. It is found that adding macroeconomic variables can significantly improve the forecasting ability in the comparison of the forecasting effects of the same model before and after adding the macroeconomic variables. Additionally, in the comparison of the forecasting effects among different models, it is also found that the forecasting effect of the deep learning model is the best, the machine learning model is worse, and the traditional econometric model is the worst.",Journal of Forecasting,2023,43,"Song, Yuping; Tang, Xiaolong; Wang, Hemin; Ma, Zhiren",https://doi.org/10.1002/for.2899
3,24,"families=2:ensemble,garch",crossref,10.1002/for.2668,Forecasting stock volatility in the presence of extreme shocks: Short‐term and long‐term effects,"Abstract This paper introduces a novel generalized autoregressive conditional heteroskedasticity–mixed data sampling–extreme shocks (GARCH‐MIDAS‐ES) model for stock volatility to examine whether the importance of extreme shocks changes in different time ranges. Based on different combinations of the short‐ and long‐term effects caused by extreme events, we extend the standard GARCH‐MIDAS model to characterize the different responses of the stock market for short‐ and long‐term horizons, separately or in combination. The unique timespan of nearly 100 years of the Dow Jones Industrial Average (DJIA) daily returns allows us to understand the stock market volatility under extreme shocks from a historical perspective. The in‐sample empirical results clearly show that the DJIA stock volatility is best fitted to the GARCH‐MIDAS‐SLES model by including the short‐ and long‐term impacts of extreme shocks for all forecasting horizons. The out‐of‐sample results and robustness tests emphasize the significance of decomposing the effect of extreme shocks into short‐ and long‐term effects to improve the accuracy of the DJIA volatility forecasts.",Journal of Forecasting,2020,24,"Wang, Lu; Ma, Feng; Liu, Guoshan",https://doi.org/10.1002/for.2668
3,15,"families=2:classical,garch",openalex,10.1080/14697688.2022.2159505,Assessing the accuracy of exponentially weighted moving average models for Value-at-Risk and Expected Shortfall of crypto portfolios,"A plethora of academic papers on generalized autoregressive conditional heteroscedasticity (GARCH) models for bitcoin and other cryptocurrencies have been published in academic journals. Yet few, if indeed any, of these are employed by practitioners. Previous academic studies produce results that are fragmented, confusing and conflicting, so there is no commercial incentive to drive an expensive implementation of complex multivariate GARCH models, which anyway would commonly require more data for calibration than are available in the history of most cryptocurrencies, at least at the daily frequency. Consequently, this paper assesses the forecasting accuracy of simple parametric RiskMetricsTM type volatility and covariance models, with a focus on ad hoc parameter choice instead of a data-intensive calibration procedure. We provide extensive backtests of hourly and daily Value-at-Risk (VaR) and Expected Shortfall (ES) forecasts that are regarded as best practice in the industry and commonly used for regulatory approval. Our results demonstrate that much simpler models in the exponentially weighted moving average (EWMA) class are just as accurate as GARCH models for VaR and ES forecasting, provided they capture an asymmetric volatility response and a heavy-tailed returns distribution. Moreover, on ranking each model's variance and covariance forecasts using average scores generated from proper univariate and multivariate scoring rules, there is no evidence of superior performance of variance and covariance forecasts generated by GARCH models, using either daily or hourly data.",Quantitative Finance,2023,15,Carol Alexander; Michael Dakos,https://doi.org/10.1080/14697688.2022.2159505
3,14,"families=2:classical,ensemble",crossref,10.1002/for.3046,"Out‐of‐sample volatility prediction: Rolling window, expanding window, or both?","Abstract Estimation windows, either rolling or expanding, are used for volatility forecasting. In this study, we propose a new approach relying on both estimation windows. Our method is based on how well these two windows performed in terms of prediction during a recent period of past time. We will continue to use whichever one has performed better in the past. Results show that our strategy significantly outperforms the individual and mean combination models. Whether the window is rolling or expanding, the relatively better performance is persistent. In other words, we document the existence of the momentum of predictability (MoP). A mean–variance investor can achieve the highest utility gains using our strategy for volatility forecasting. Moreover, the results pass a series of robustness tests.",Journal of Forecasting,2024,14,"Feng, Yuqing; Zhang, Yaojie; Wang, Yudong",https://doi.org/10.1002/for.3046
3,12,"families=3:classical,ensemble,ml",crossref,10.1002/for.2844,Parallel architecture of CNN‐bidirectional LSTMs for implied volatility forecast,"Abstract We propose a new forecast method based on artificial neural networks (ANNs), ensemble CNN‐BiLSTM, which is an ensemble of three CNN‐BiLSTMs constructed with the combination of Convolution Neural Network (CNN) and Bidirectional Long Short‐Term Memory (BiLSTM). The new forecast method effectively handles the strong long memory serial dependence feature of the daily VXN by the ensemble CNN‐BiLSTM together with proper normalization and batch size. The long memory features arising from time‐dependent mean and variance are largely reduced by normalizing the data with local mean and local standard deviation (SD). The batch size is determined by the optimal block length of the moving block bootstrap which reflects the long memory. The ensemble CNN‐BiLSTM concentrates on 1‐day, 1‐week, and 2‐week features of the normalized VXN data. An out‐of‐sample forecast comparison reveals that (i) the proposed ensemble CNN‐BiLSTM has better forecast performance than the autoregressive model, DNN, LSTM, BiLSTM, and individual CNN‐BiLSTMs; (ii) the local mean‐SD normalization has superior forecast performance to the standard global mean‐SD normalization; (iii) and the optimal block length improves the forecast performance over a batch size considered in the literature.",Journal of Forecasting,2022,12,"Choi, Ji‐Eun; Shin, Dong Wan",https://doi.org/10.1002/for.2844
3,11,"families=2:classical,garch",crossref,10.1002/for.2876,Bayesian quantile forecasting via the realized hysteretic GARCH model,"Abstract This research introduces a new model, a realized hysteretic GARCH, that is similar to a three‐regime nonlinear framework combined with daily returns and realized volatility. The setup allows the mean and volatility switching in a regime to be delayed when the hysteresis variable lies in a hysteresis zone. This nonlinear model presents explosive persistence and high volatility in Regime 1 in order to capture extreme cases. We employ the Bayesian Markov chain Monte Carlo (MCMC) procedure to estimate model parameters and to forecast volatility, value at risk (VaR), and expected shortfall (ES). A simulation study highlights the properties of the proposed MCMC methods, as well as their accuracy and satisfactory performance as quantile forecasting tools. We also consider two competing models, the realized GARCH and the realized threshold GARCH, for comparison and carry out Bayesian risk forecasting via predictive distributions on four stock markets. The out‐of‐sample period covers the recent 4 years by a rolling window approach and includes the COVID‐19 pandemic period. Among the realized models, the realized hysteretic GARCH model outperforms at the 1% level in terms of violation rates and backtests.",Journal of Forecasting,2022,11,"Chen, Cathy W. S.; Lin, Edward M. H.; Huang, Tara F. J.",https://doi.org/10.1002/for.2876
3,10,"families=2:garch,har",crossref,10.1002/for.2748,Can night trading sessions improve forecasting performance of gold futures' volatility in China?,"Abstract We use heterogeneous autoregression (HAR) and two related HAR extension models to examine volatility forecasting performances before and after the launch of night trading sessions in the Shanghai Futures Exchange (SHFE) gold futures market. To capture fluctuations from external information and volatility of realized volatility (RV), we incorporate the trading volume and jumping into the HAR‐V‐J model in the first place and then incorporate a GARCH specification into the HAR‐GARCH model. Results showed that there were large fluctuations in SHFE gold futures market before the launch of night trading sessions and mostly stemmed from overnight fluctuation in the international gold futures market. After the launch of night trading sessions, the realized volatility has a clear trend of moderation. In the in‐sample estimation, both jump and external information are found to have significant explanatory power with the HAR‐V‐J model. Additionally, the volatility clustering and high persistence of the realized volatility were confirmed by the GARCH coefficients. Last but not the least, night trading sessions have significantly improved the out‐of‐sample forecasting performances of realized volatility models. Among them, the HAR‐V‐J model is the best‐performing model. This conclusion holds for various prediction horizons and has great practical values for investors and policymakers.",Journal of Forecasting,2021,10,"Yao, Xuan; Hui, Xiaofeng; Kang, Kaican",https://doi.org/10.1002/for.2748
3,1,"families=2:har,ml",openalex,10.1093/jjfinec/nbaf017,Loss-Based Bayesian Sequential Prediction of Value-at-Risk with a Long-Memory and Non-Linear Realized Volatility Model,"Abstract A long-memory and non-linear realized volatility model class is proposed for direct Value-at-Risk (VaR) forecasting. This model, referred to as RNN-HAR, extends the heterogeneous autoregressive (HAR) model, a framework known for efficiently capturing long memory in realized measures, by integrating a Recurrent Neural Network (RNN) to handle the non-linear dynamics. Quantile loss-based generalized Bayesian method with Sequential Monte Carlo is employed for model estimation and sequential prediction in RNN-HAR. The empirical analysis is conducted using daily closing prices and realized measures with around 12 years of data till 2022, covering 31 market indices. The proposed model’s one-step-ahead VaR forecasting performance is compared against a basic HAR model and its extensions. The results demonstrate that the proposed RNN-HAR model consistently outperforms all other models considered in the study. The implementation code of the HAR-RNN model is publicly available on GitHub: https://github.com/chaowang-usyd/RNN-HAR.",Journal of Financial Econometrics,2025,1,Rangika Peiris; Minh‐Ngoc Tran; Chao Wang; Richard Gerlach,https://doi.org/10.1093/jjfinec/nbaf017
3,0,"families=2:ensemble,ml",openalex,10.1093/jjfinec/nbae028,SMARTboost Learning for Tabular Data,"We introduce SMARTboost (boosting of symmetric smooth additive regression trees), an extension of gradient boosting machines with improved accuracy when the underlying function is smooth or the sample small or noisy. In extensive simulations, we find that the combination of smooth symmetric trees and of carefully designed priors gives SMARTboost a large edge (in comparison with XGBoost and BART) on data generated by the most common parametric models in econometrics, and on a variety of other smooth functions. XGBoost outperforms SMARTboost only when the sample is large, and the underlying function is highly discontinuous. SMARTboost’s performance is illustrated in two applications to global equity returns and realized volatility prediction.",Journal of Financial Econometrics,2024,0,Paolo Giordani,https://doi.org/10.1093/jjfinec/nbae028
3,0,"families=2:har,ml",arxiv,,Geometric Deep Learning for Realized Covariance Matrix Forecasting,"Traditional methods employed in matrix volatility forecasting often overlook the inherent Riemannian manifold structure of symmetric positive definite matrices, treating them as elements of Euclidean space, which can lead to suboptimal predictive performance. Moreover, they often struggle to handle high-dimensional matrices. In this paper, we propose a novel approach for forecasting realized covariance matrices of asset returns using a Riemannian-geometry-aware deep learning framework. In this way, we account for the geometric properties of the covariance matrices, including possible non-linear dynamics and efficient handling of high-dimensionality. Moreover, building upon a Fréchet sample mean of realized covariance matrices, we are able to extend the HAR model to the matrix-variate. We demonstrate the efficacy of our approach using daily realized covariance matrices for the 50 most capitalized companies in the S&P 500 index, showing that our method outperforms traditional approaches in terms of predictive accuracy.",arXiv q-fin,2024,0,Andrea Bucci; Michele Palma; Chao Zhang,https://arxiv.org/abs/2412.09517v1
3,0,"families=3:classical,garch,ml",arxiv,,Autoencoder Enhanced Realised GARCH on Volatility Forecasting,"Realised volatility has become increasingly prominent in volatility forecasting due to its ability to capture intraday price fluctuations. With a growing variety of realised volatility estimators, each with unique advantages and limitations, selecting an optimal estimator may introduce challenges. In this thesis, aiming to synthesise the impact of various realised volatility measures on volatility forecasting, we propose an extension of the Realised GARCH model that incorporates an autoencoder-generated synthetic realised measure, combining the information from multiple realised measures in a nonlinear manner. Our proposed model extends existing linear methods, such as Principal Component Analysis and Independent Component Analysis, to reduce the dimensionality of realised measures. The empirical evaluation, conducted across four major stock markets from January 2000 to June 2022 and including the period of COVID-19, demonstrates both the feasibility of applying an autoencoder to synthesise volatility measures and the superior effectiveness of the proposed model in one-step-ahead rolling volatility forecasting. The model exhibits enhanced flexibility in parameter estimations across each rolling window, outperforming traditional linear approaches. These findings indicate that nonlinear dimension reduction offers further adaptability and flexibility in improving the synthetic realised measure, with promising implications for future volatility forecasting applications.",arXiv q-fin,2024,0,Qianli Zhao; Chao Wang; Richard Gerlach; Giuseppe Storti; Lingxiang Zhang,https://arxiv.org/abs/2411.17136v1
3,0,"families=2:classical,garch",arxiv,,What events matter for exchange rate volatility ?,"This paper expands on stochastic volatility models by proposing a data-driven method to select the macroeconomic events most likely to impact volatility. The paper identifies and quantifies the effects of macroeconomic events across multiple countries on exchange rate volatility using high-frequency currency returns, while accounting for persistent stochastic volatility effects and seasonal components capturing time-of-day patterns. Given the hundreds of macroeconomic announcements and their lags, we rely on sparsity-based methods to select relevant events for the model. We contribute to the exchange rate literature in four ways: First, we identify the macroeconomic events that drive currency volatility, estimate their effects and connect them to macroeconomic fundamentals. Second, we find a link between intraday seasonality, trading volume, and the opening hours of major markets across the globe. We provide a simple labor-based explanation for this observed pattern. Third, we show that including macroeconomic events and seasonal components is crucial for forecasting exchange rate volatility. Fourth, our proposed model yields the lowest volatility and highest Sharpe ratio in portfolio allocations when compared to standard SV and GARCH models.",arXiv q-fin,2024,0,Igor Martins; Hedibert Freitas Lopes,https://arxiv.org/abs/2411.16244v1
3,0,"families=2:classical,ml",arxiv,,Whack-a-mole Online Learning: Physics-Informed Neural Network for Intraday Implied Volatility Surface,"Calibrating the time-dependent Implied Volatility Surface (IVS) using sparse market data is an essential challenge in computational finance, particularly for real-time applications. This task requires not only fitting market data but also satisfying a specified partial differential equation (PDE) and no-arbitrage conditions modelled by differential inequalities. This paper proposes a novel Physics-Informed Neural Networks (PINNs) approach called Whack-a-mole Online Learning (WamOL) to address this multi-objective optimisation problem. WamOL integrates self-adaptive and auto-balancing processes for each loss term, efficiently reweighting objective functions to ensure smooth surface fitting while adhering to PDE and no-arbitrage constraints and updating for intraday predictions. In our experiments, WamOL demonstrates superior performance in calibrating intraday IVS from uneven and sparse market data, effectively capturing the dynamic evolution of option prices and associated risk profiles. This approach offers an efficient solution for intraday IVS calibration, extending PINNs applications and providing a method for real-time financial modelling.",arXiv q-fin,2024,0,Kentaro Hoshisashi; Carolyn E. Phelan; Paolo Barucca,https://arxiv.org/abs/2411.02375v1
3,0,"families=2:garch,ml",arxiv,,Dynamic graph neural networks for enhanced volatility prediction in financial markets,"Volatility forecasting is essential for risk management and decision-making in financial markets. Traditional models like Generalized Autoregressive Conditional Heteroskedasticity (GARCH) effectively capture volatility clustering but often fail to model complex, non-linear interdependencies between multiple indices. This paper proposes a novel approach using Graph Neural Networks (GNNs) to represent global financial markets as dynamic graphs. The Temporal Graph Attention Network (Temporal GAT) combines Graph Convolutional Networks (GCNs) and Graph Attention Networks (GATs) to capture the temporal and structural dynamics of volatility spillovers. By utilizing correlation-based and volatility spillover indices, the Temporal GAT constructs directed graphs that enhance the accuracy of volatility predictions. Empirical results from a 15-year study of eight major global indices show that the Temporal GAT outperforms traditional GARCH models and other machine learning methods, particularly in short- to mid-term forecasts. The sensitivity and scenario-based analysis over a range of parameters and hyperparameters further demonstrate the significance of the proposed technique. Hence, this work highlights the potential of GNNs in modeling complex market behaviors, providing valuable insights for financial analysts and investors.",arXiv q-fin,2024,0,Pulikandala Nithish Kumar; Nneka Umeorah; Alex Alochukwu,https://arxiv.org/abs/2410.16858v1
